Price,Year
,03/12/2016
721000,03/12/2016
751000,03/12/2016
731000,03/12/2016
798000,03/12/2016
725000,03/12/2016
723000,03/12/2016
336000,03/12/2016
685000,03/12/2016
550000,03/12/2016
620000,03/12/2016
1025000,03/12/2016
1600000,03/12/2016
370000,03/12/2016
,03/12/2016
,03/12/2016
630000,03/12/2016
3335000,03/12/2016
2250000,03/12/2016
935000,03/12/2016
830000,03/12/2016
,03/12/2016
835000,03/12/2016
1106000,03/12/2016
330000,03/12/2016
385000,03/12/2016
1610000,03/12/2016
3600000,03/12/2016
,03/12/2016
970000,03/12/2016
920500,03/12/2016
1620000,03/12/2016
1002000,03/12/2016
1355000,03/12/2016
,03/12/2016
666000,03/12/2016
390000,03/12/2016
1230000,03/12/2016
965000,03/12/2016
1510000,03/12/2016
,03/12/2016
,03/12/2016
362000,03/12/2016
402000,03/12/2016
1880000,03/12/2016
730000,03/12/2016
910000,03/12/2016
385000,03/12/2016
775000,03/12/2016
590000,03/12/2016
661000,03/12/2016
671000,03/12/2016
430000,03/12/2016
1650000,03/12/2016
640000,03/12/2016
602000,03/12/2016
1915000,03/12/2016
950000,03/12/2016
625000,03/12/2016
710000,03/12/2016
488000,03/12/2016
560000,03/12/2016
478000,03/12/2016
615000,03/12/2016
,03/12/2016
1330500,03/12/2016
696000,03/12/2016
880000,03/12/2016
670000,03/12/2016
600000,03/12/2016
842000,03/12/2016
780000,03/12/2016
951000,03/12/2016
1700000,03/12/2016
1165000,03/12/2016
1098000,03/12/2016
,03/12/2016
742500,03/12/2016
650000,03/12/2016
470000,03/12/2016
1470000,03/12/2016
517500,03/12/2016
520000,03/12/2016
1435000,03/12/2016
546000,03/12/2016
1635000,03/12/2016
580000,03/12/2016
865000,03/12/2016
1420000,03/12/2016
561000,03/12/2016
556000,03/12/2016
1010000,03/12/2016
1250000,03/12/2016
885000,03/12/2016
660000,03/12/2016
581000,03/12/2016
655000,03/12/2016
437000,03/12/2016
690000,03/12/2016
300000,03/12/2016
1061000,03/12/2016
912500,03/12/2016
565000,03/12/2016
1074000,03/12/2016
1021000,03/12/2016
650000,03/12/2016
,03/12/2016
890000,03/12/2016
890000,03/12/2016
,03/12/2016
825000,03/12/2016
457500,03/12/2016
555000,03/12/2016
416000,03/12/2016
,03/12/2016
1550000,03/12/2016
871000,03/12/2016
780000,03/12/2016
851000,03/12/2016
1035000,04/02/2016
720000,04/02/2016
895000,04/02/2016
,04/02/2016
1222500,04/02/2016
,04/02/2016
775000,04/02/2016
743000,04/02/2016
900000,04/02/2016
1065000,04/02/2016
1230000,04/02/2016
395000,04/02/2016
1151000,04/02/2016
1755000,04/02/2016
571000,04/02/2016
756500,04/02/2016
782000,04/02/2016
530500,04/02/2016
841000,04/02/2016
565000,04/02/2016
670000,04/02/2016
466000,04/02/2016
442500,04/02/2016
1395000,04/02/2016
414000,04/02/2016
407000,04/02/2016
498000,04/02/2016
544000,04/02/2016
911000,04/02/2016
398500,04/02/2016
837000,04/02/2016
216000,04/02/2016
700000,04/02/2016
625000,04/02/2016
735000,04/02/2016
475000,04/02/2016
461000,04/02/2016
737500,04/02/2016
850000,04/02/2016
927000,04/02/2016
290000,04/02/2016
257500,04/02/2016
812000,04/02/2016
750000,04/02/2016
1417250,04/02/2016
,04/02/2016
835000,04/02/2016
876000,04/02/2016
550000,04/02/2016
1102000,04/02/2016
1010000,04/02/2016
424500,04/02/2016
457000,04/02/2016
930000,04/02/2016
639000,04/02/2016
540500,04/02/2016
1450000,04/02/2016
580000,04/02/2016
805000,04/02/2016
1645000,04/02/2016
600500,04/02/2016
890000,04/02/2016
525000,04/06/2016
470000,04/06/2016
683000,04/06/2016
623000,04/06/2016
,04/06/2016
3625000,04/06/2016
840000,04/06/2016
1425000,04/06/2016
1555000,04/06/2016
1417000,04/06/2016
1155000,04/06/2016
1200000,04/06/2016
636000,04/06/2016
1140000,04/06/2016
2330000,04/06/2016
,04/06/2016
,04/06/2016
605000,04/06/2016
,04/06/2016
563000,04/06/2016
915000,04/06/2016
1900000,04/06/2016
1270000,04/06/2016
2700000,04/06/2016
1005000,04/06/2016
1317500,04/06/2016
742000,04/06/2016
,04/06/2016
495000,04/06/2016
570000,04/06/2016
1220000,04/06/2016
,04/06/2016
885000,04/06/2016
1137500,04/06/2016
1100000,04/06/2016
1020000,04/06/2016
705000,04/06/2016
1930000,04/06/2016
1380000,04/06/2016
1000000,04/06/2016
670000,04/06/2016
,04/06/2016
495000,04/06/2016
2910000,04/06/2016
,04/06/2016
2100000,04/06/2016
2700000,04/06/2016
760000,04/06/2016
800000,04/06/2016
1750000,04/06/2016
980000,04/06/2016
,04/06/2016
1495000,04/06/2016
,04/06/2016
410000,04/06/2016
677000,04/06/2016
,04/06/2016
1550000,04/06/2016
473000,04/06/2016
1200000,04/06/2016
,04/06/2016
,04/06/2016
,04/06/2016
930000,04/06/2016
980000,04/06/2016
617250,04/06/2016
708000,04/06/2016
435000,04/06/2016
604000,04/06/2016
1300000,04/06/2016
1160000,04/06/2016
615000,04/06/2016
1950000,04/06/2016
1987000,04/06/2016
683000,04/06/2016
,04/06/2016
830000,04/06/2016
772000,04/06/2016
1506000,04/06/2016
290000,04/06/2016
363000,04/06/2016
700000,04/06/2016
606000,04/06/2016
810000,04/06/2016
720000,04/06/2016
905000,04/06/2016
901000,04/06/2016
780000,04/06/2016
,04/06/2016
905000,04/06/2016
,04/06/2016
860000,04/06/2016
864000,04/06/2016
387000,04/06/2016
1000000,04/06/2016
725000,04/06/2016
880000,04/06/2016
476000,04/06/2016
1005000,04/06/2016
623000,04/06/2016
915000,04/06/2016
,04/06/2016
1150000,04/06/2016
1325000,04/06/2016
,04/06/2016
1065000,04/06/2016
380000,04/06/2016
3520000,04/06/2016
,04/06/2016
930000,04/06/2016
680000,04/06/2016
965000,04/06/2016
1131000,04/06/2016
800000,04/06/2016
790000,04/06/2016
,04/06/2016
1325000,04/06/2016
1800000,04/06/2016
1580000,04/06/2016
1422000,04/06/2016
530000,04/06/2016
1125000,04/06/2016
378000,04/06/2016
,04/06/2016
605000,04/06/2016
306000,04/06/2016
670000,04/06/2016
460000,04/06/2016
695000,04/06/2016
390000,04/06/2016
1090000,04/06/2016
1530000,04/06/2016
475000,04/06/2016
1500000,04/06/2016
2175000,04/06/2016
,04/06/2016
